contract_id,summary,termination_clause,confidentiality_clause,liability_clause,error
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement,"The Business Affiliate Agreement between Dr. George D. Green and UNION DENTAL CORP. aims to facilitate the exchange of confidential information for managing dental offices. Both parties must use and disclose confidential information only as permitted by the agreement and applicable laws. They must also implement safeguards to maintain security and prevent unauthorized disclosure. Notable risks include termination without notice if a material breach occurs, and each party must indemnify the other against losses arising from unauthorized use or disclosure of confidential information. Upon termination, all confidential information must be returned or destroyed.","This Agreement shall become effective on the Effective Date and shall continue in effect until either Party informs the other Party with thirty (30) day prior written notice of termination of this Agreement. UDC may immediately terminate this Agreement without notice and any related agreement if it determines that the Business Affiliate has breached a material provision of this Agreement or if the activities contemplated under this Agreement will result in a violation of any federal or state law or if such Services would, in the opinion of UDC and its counsel. Alternatively, UDC may choose to: (i) provide the Business Affiliate with ten (10) days written notice of the existence of an alleged material breach; and (ii) afford the Business Affiliate an opportunity to cure said alleged material breach upon mutually agreeable terms. Failure to cure in the manner set forth in this paragraph is grounds for the immediate termination of the Agreement.","With regard to its use and/or disclosure of Confidential Information, each Party hereby agrees to do the following: a. Use and/or disclose the Confidential Information only as permitted or required by this Agreement or as otherwise required by law; b. Report to the other Party, in writing, any use and/or disclosure of the Confidential Information that is not permitted or required by this Agreement of which a Party becomes aware within five (5) days of a Party's discovery of such unauthorized use and/or disclosure; c. Use appropriate safeguards to maintain the security of the Confidential Information and to prevent unauthorized use and/or disclosure of such Confidential Information; d. Require all of its employees, representatives, subcontractors or agents that receive or use or have access to Confidential Information under this Agreement to agree in writing to adhere to the same restrictions and conditions on the use and/or disclosure of Confidential Information that apply herein, including the obligation to return or destroy the Confidential Information as provided under paragraph g of this Section 3; e. Make available, during normal business hours, at a Party's offices all records, books, agreements, policies and procedures relating to the use and/or disclosure of Confidential Information that is subject to this Agreement, to the other Party within ten (10) days of a Party's written request, for the purpose of enabling a Party to verify the other Party's compliance with the terms of this Agreement; f. Within fifteen (15) days of receiving a written request from a Party, provide to the other Party such information as is requested by a Party to permit the other Party to respond to a request by the subject individual for amendment and accounting purposes of the disclosures of the individual's Confidential Information; g. Return to a Party or destroy, as requested by a Party, within fifteen (15) days of the termination of this Agreement, any Confidential Information provided to such Party and in its possession and retain no copies or back-up tapes; h. Parties agrees to mitigate, to the extent practicable, any harmful effect that is known to a Party of a use or disclosure of Confidential Information by a Party in violation of the requirements of this Agreement; Upon termination of this Agreement, for any reason, each Party hereto shall return to the other Party, or destroy, all of such Party's Confidential Information in the possession of the other Party.","6. Indemnification. The Parties hereby covenant and agree to indemnify and hold harmless each other, it's agents and representatives from and against any and all losses, costs, expenses, liabilities, claims, demands, judgments and its settlements of every nature that are actually incurred by a Party, including without limitation reasonable attorney's fees for pre-trial, trial, appellate, judgment, post-judgment, execution, and alternative dispute resolution, which arise out of any use or disclosure of Confidential Information not specifically permitted by this Agreement or arise out of the services rendered by Business Affiliate.",
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,"The Recipe Development Agreement between Reed's and Full Sail Brewing Company aims to develop formulas for ginger-based flavored alcohol beverage products. Reed's and Full Sail Brewing will collaborate to develop commercial production-ready products, with Full Sail Brewing responsible for development costs. The companies will form a Development Committee to discuss and approve development milestones. Notably, Reed's will exclusively own all deliverables, and Full Sail Brewing will assign its rights to Reed's. The agreement also outlines representations and warranties, including compliance with applicable laws and regulations, and intellectual property ownership and use.","(b) Early Termination. Either party may terminate this Agreement at any time if any of the following occur: (i) the other party fails to comply with any requirements or obligations under this Agreement, and such non-compliance is not cured within 30 days following written notice from the other party identifying the non-compliance; (ii) the other party becomes insolvent, reorganizes or liquidates; (iii) the other party makes any assignment for the benefit of Company’s creditors; or (iv) a receiver is appointed for Company’s property. Either party may terminate this Agreement upon written notice if the Manufacturing and Distribution Agreement terminates prior to the first anniversary of the Effective Date. ... In the event that the Impacted Party’s failure or delay remains uncured for a period of thirty (30) days following written notice given by it under this Section 15, either party may thereafter terminate this Agreement upon thirty (30) days’ written notice.","7. Confidentiality. Each of Reed’s and Company (a “Receiving Party”) shall hold in confidence and not make any commercial or other use of any or all Confidential Information conveyed, acquired or learned from the other party (the “ Disclosing Party”) at any time, except in association with this Agreement. Except as otherwise expressly permitted herein, Receiving Party shall not disclose such information to third persons without the prior written consent of the Disclosing Party. Receiving Party shall limit access to the Confidential Information to those of its directors, officers, employees, contractors, agents, attorneys and accountants (the “ Representatives”) with the need to know the same and shall advise such Representatives of, and hold them to, Receiving Party’s obligations under the terms of this Section 7. Receiving Party and its Representatives shall be permitted to disclose Confidential Information as required by law, including to any judicial, regulatory, administrative or other governmental body (by interrogatories, investigative demands, requests for information or documents, subpoena, or other similar process), but must (to the extent legally permissible) promptly notify the disclosing party of the existence, terms and circumstances surrounding such requirement and give the disclosing party a reasonable opportunity to obtain a protective order or other appropriate remedy to resist or narrow such disclosure. “Confidential Information” means all information of Disclosing Party that is disclosed orally or in writing by Disclosing Party to Receiving Party that, at the time of disclosure, is designated as confidential (or like designation), is disclosed in circumstances of confidence, would be understood by the parties, exercising reasonable business judgment, to be confidential, or is not generally known to the public, whether of a business, technical, or other nature, and including, without limitation, designs, plans, drawings, know-how, recipes, and marketing and business plans. Upon the expiration or earlier termination of this Agreement, Receiving Party shall return to Disclosing Party all of Disclosing Party’s Confidential Information or shall destroy the same at the option of Disclosing Party. The provisions of this Section 7 shall survive termination or expiration of this Agreement. The obligations in this Section 7 regarding trade secrets, in particular, will continue for so long as the information constitutes a trade secret under applicable law.","EXCEPT WITH RESPECT TO THE INDEMNIFICATION OBLIGATIONS SET FORTH IN SECTION 9 WITH REGARD TO CLAIMS BY THIRD PARTIES, IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR CONSEQUENTIAL, INDIRECT, INCIDENTAL, SPECIAL, EXEMPLARY, PUNITIVE OR ENHANCED DAMAGES, LOST PROFITS OR REVENUES OR DIMINUTION IN VALUE ARISING OUT OF, RELATING TO, OR IN CONNECTION WITH ANY BREACH OF THIS AGREEMENT OR CLAIM HEREUNDER, REGARDLESS OF (A) WHETHER SUCH DAMAGES WERE FORESEEABLE, (B) WHETHER OR NOT IT WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, AND (C) THE LEGAL OR EQUITABLE THEORY (CONTRACT, TORT OR OTHERWISE) UPON WHICH THE CLAIM IS BASED.",
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3,"The purpose of this Second Amendment to Co-Branding Agreement is to modify the provisions of the original agreement between PC Quote, Inc. and A.B. Watley, Inc. The parties agree to amend the agreement to modify certain terms, with the amended provisions prevailing in case of conflict. Each party is bound by the mutual promises and agreements contained herein. The agreement may be executed in several counterparts, and except as modified, the original agreement remains ratified and confirmed. There are no notable risks or penalties mentioned in this amendment, which primarily focuses on modifying the existing co-branding agreement between the two parties.",Clause Not Present,Clause Not Present,Clause Not Present,
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement,"The Marketing Affiliate Agreement between Equidata and National Credit Report.com aims to establish a marketing partnership for Equidata's personal credit and fraud detection services. Equidata grants Marketing Affiliate permission to display marketing materials and links to Equidata's website, while Marketing Affiliate is responsible for collecting payments from consumers and paying Equidata accordingly. The agreement outlines compensation terms, dispute resolution through arbitration, and operational specifications. Notable risks include late payment fees, attorney's fees, and termination penalties, with Equidata reserving the right to increase service costs and terminate the agreement upon non-payment or breach.","7.2. This Agreement may be terminated by either party with cause upon thirty (30) days written notice. Upon Marketing Affiliate’s default in payment or other breach of this Agreement, Equidata may terminate this Agreement without notice to Marketing Affiliate.","10. Proprietary Information. Marketing Affiliate and Equidata mutually acknowledge that from time to time Confidential Information may be received by each. Confidential Information, includes, but is not limited to, Customer names and lists. The Receiving Party may not disclose or use the Disclosing Party’s Confidential and Proprietary Information for any reason other than in the performance of this Agreement.","11. Liability. MARKETING AFFILIATE ACKNOWLEDGES AND AGREES THAT ANY PRODUCT, SERVICE, LICENSE OR PERMISSION PROVIDED BY EQUIDATA UNDER THIS AGREEMENT IS PROVIDED ON AN “AS IS” BASIS. EQUIDATA EXPRESSLY DISCLAIMS ANY WARRANTY OF ANY KIND WHATSOEVER, WHETHER EXPRESS, IMPLIED,STATUTORY, OR ARISING FROM COURSE OF DEALING OR PERFORMANCE, AND HEREBY DISCLAIMS AND EXCLUDES FROM THIS AGREEMENT ALL IMPLIED WARRANTIES, INCLUDING WITHOUT LIMITATION WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, NONINTERFERENCE WITH DATA, ACCURACY, OR THAT THE SERVICE IS ERROR FREE. IN NO EVENT WILL EQUIDATA BE LIABLE FOR ANY INDIRECT, EXEMPLARY, PUNITIVE, SPECIAL, OR CONSEQUENTIAL DAMAGES INCLUDING WITHOUT LIMITATION LOST PROFITS OR OTHER ECONOMIC LOSS, LOST REIMBURSEMENTS, AND LOST DATA, OR FOR ANY CLAIM BY ANY THIRD PARTY. EVEN IF EQUIDATA, MARKETING AFFILIATE OR BOTH HAD BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR CLAIM, MARKETING AFFILIATE AGREES TO DEFEND, INDEMNIFY AND HOLD HARMLESS EQUIDATA, AND EACH OF ITS EMPLOYEES, AGENTS, OFFICERS AND DIRECTORS, FROM AND AGAINST ANY CLAIM, SUIT, DEMAND, OR ACTION, INCLUDING WITHOUT LIMITATION ATTORNEY FEES, ARISING FROM (A) BREACH OF THIS AGREEMENT BY MARKETING AFFILIATE, (B) THE MARKETING AFFILIATE WEB SITE, OR (C) MARKETING AFFILIATE’S BUSINESS.",
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement,"The purpose of this agreement is to amend the existing Distributor Agreement between Zebra and ScanSource to include Xplore products. Zebra and ScanSource are obligated to follow the terms and conditions of the Distributor Agreement, with some exceptions for Xplore products. Notable risks include the requirement for regulatory approvals for the sale of Xplore products and the potential for conflicts between the Distributor Agreement and this Addendum, with the Addendum taking precedence. The agreement can be terminated at any time by either party in accordance with the termination provisions of the Distributor Agreement.",Clause Not Present,Clause Not Present,Clause Not Present,
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,"The Application Development Agreement is between InfinixSoft Global LLC and Clickstream Corporation, where InfinixSoft develops an application for Clickstream. InfinixSoft must create the application system, provide services, and maintain the system, while Clickstream must provide assistance, cooperation, and payment. The agreement can be terminated by either party with written notice, and InfinixSoft must deliver all intellectual property to Clickstream upon termination. Notable risks include termination penalties, material breach, and delays in delivery, which can result in expense and damage to Clickstream.","This Agreement may be terminated: 1. By either Party on provision of seven (7) days written notice to the other Party in case of a Force Majeure Event. 2. Client has the unilateral right to cancel this agreement at any time within a 7-day notice period. Further, Developer can only cancel due to lack of payment. Client will have a 30 day right to cure before a cancelation can occur. 3. By either Party for a material breach of any provision of this Agreement by the other Party, if the other Party’s material breach is not cured within three (3) days of receipt of written notice thereof. 4. By the Client at any time and without prior notice, if the Developer is convicted of any crime or offense, fails or refuses to comply with the written policies or reasonable directives of the Client, or is guilty of serious misconduct in connection with performance under this Agreement.","The Developer agrees, during the Term and thereafter, to hold in strictest confidence, and not to use, except for the benefit of the Client, or to disclose to any person, firm, or corporation without the prior written authorization of the Client, any Confidential Information of the Client. “Confidential Information” means any of the Client’s proprietary information, technical data, trade secrets, or know-how, including, but not limited to, business plans, research, product plans, products, services, customer lists, markets, software, developments, inventions, processes, formulas, technology, designs, drawings, engineering, hardware configuration information, marketing, finances, or other business information disclosed to the Developer by the Client either directly or indirectly.","(a) Of Client by Developer. The Developer shall indemnify and hold harmless the Client and its officers, members, managers, employees, agents, contractors, sub licensees, affiliates, subsidiaries, successors and assigns from and against any and all damages, liabilities, costs, expenses, claims, and/or judgments, including, without limitation, reasonable attorneys’ fees and disbursements (collectively, the “Claims”) that any of them may suffer from or incur and that arise or result primarily from (i) any gross negligence or willful misconduct of the Developer arising from or connected with the Developer’s carrying out of its duties under this Agreement, or (ii) the Developer’s breach of any of its obligations, agreements, or duties under this Agreement.",
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2,"The purpose of this Software Development Agreement is for OBA Seattle Software Developers to design, develop, and deliver software services to Pelican Delivers Inc. The developer is obligated to provide satisfactory services and deliverables, while the client must provide necessary information and assistance. Notable risks include the client's option to terminate the agreement if the developer fails to meet acceptance criteria, and the client's obligation to pay fees and expenses as outlined in the agreement. The agreement also outlines procedures for change orders, payment schedules, and intellectual property ownership, with the client retaining ownership of all works created.",11.1 TERMINATION WITHOUT CAUSE Either Party may terminate this Agreement at any time during the term of this Agreement for any reason upon two weeks written notice to the other Party. 11.2 TERMINATION FOR CAUSE This Agreement may be immediately terminated by notice of the terminating Party upon: (a) the other Party's material breach of this Agreement and fails to cure such default within ten (10) calendar days after receipt of a notice of default from the terminating Party; (b) if Client fails to pay to Developer any undisputed Fees when due and fails to cure any such breach within ten (10) calendar days after receiving notice from Developer of such failure; (c) misappropriation or unauthorized disclosure of Confidential Information by the Receiving Party; or (d) the other Party engages in any act or omission that is determined to be illegal or in violation of any applicable law or regulation.,"6.4 CONFIDENTIALITY AND NON-DISCLOSURE 6.4.1 Confidential Information. Each Party acknowledges and agrees that it will receive confidential information and trade secrets from the other Party in otherwise carrying out the actions contemplated by this Agreement (collective, Confidential Information). Confidential Information does not include information at: (a) is available to the public or that becomes available to the public through no act or failure to act by the receiving Party (Receiving Party); (b) is known to the Receiving Party prior to the date of disclosure by the disclosing Party (Disclosing Party), unless the Receiving Party agreed to keep such information in confidence at the time of receipt of the information; (c) is properly obtained hereafter from a source that is not under an obligation of confidentiality with respect to such information; or (d) is developed independently by the Receiving Party without reference to or use of the Disclosing Party's Confidential Information. 6.4.2 Non-Disclosure. Neither Party shall use or disclose Confidential Information of the other Party to any third party, without the written consent of the Disclosing Party of such Confidential Information. Receiving Party agrees to undertake reasonable measures to maintain and preserve the Confidential Information of the Disclosing Party in confidence, which measures shall be no less than the measures taken by the Receiving Party to protect its own confidential information and in no event shall be less than reasonable care. Upon expiration or termination of this Agreement, Receiving Party will immediately destroy or erase all copies of documents or materials containing any Confidential Information provided by Disclosing Party and, upon the Disclosing Party's request, promptly confirm destruction of same by signing and returning to the Disclosing Party a certificate of destruction reasonably satisfactory to the Disclosing Party.","10.1 CLIENT Client shall defend, indemnify and hold harmless Developer, its member owners, officers, employees, independent contractors and agents, from and against all losses, claims, liabilities or damages and any related costs and expenses, including attorneys' fees and costs arising out of, or in any way related to any claim or action against Developer arising out of or in any way related to: (a) Client's breach of this Agreement; (b) a breach of any agreement between Client and its clients or customer; (c) Client's gross negligence or willful misconduct; (d) Client's act or omission constituting a violation of applicable federal, state, local law or regulation; or (e) any claim made against Client asserting a violation of any third party right.",
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement,"The Business Development Agreement between Liquidmetal Technologies, Inc. and Eutectix, LLC aims to collaborate on the development and commercialization of amorphous alloy materials and technologies. Liquidmetal grants Eutectix a license to use its equipment and alloys, while Eutectix will provide product development and manufacturing services. The agreement has a five-year term, with automatic extensions unless terminated with 180 days' notice. The licensed equipment and alloys are provided ""as is"" with no warranties, and Eutectix bears all delivery and shipping expenses. Liquidmetal retains the right to enforce its intellectual property, including patents and technical information.","5.1 Termination for Cause. Either Party may terminate this Agreement hereunder for default if the other Party materially breaches this Agreement; provided, however, no termination right shall accrue until thirty (30) days after the defaulting Party is notified in writing of the material breach and has failed to cure within the thirty (30) day period after notice of a material breach. 5.2 Termination for Convenience. Either Party may terminate this Agreement for any reason upon providing 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement. 5.3 Termination by Operation of Law . This Agreement shall immediately and automatically terminate should either Party (a) become insolvent; (b) enter into or file a petition, arraignment or proceeding seeking an order for relief under bankruptcy laws of its respective jurisdiction; (c) enter into receivership of any of its assets; or (d) enter into a dissolution or liquidation of its assets or an assignment for the benefit of its creditors.",Clause Not Present,"NEITHER PARTY SHALL BE LIABLE TO OTHER PARTY FOR ANY LOST PROFITS, LOST REVENUES, OR ANY OTHER INCIDENTAL, INDIRECT, PUNITIVE, SPECIAL OR CONSEQUENTIAL DAMAGES WHATSOEVER ARISING OUT OF THIS AGREEMENT OR ANY ORDER, OR OUT OF THE PERFORMANCE OR BREACH OF THIS AGREEMENT OR ANY ORDER, EVEN IF THE PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement,"The El Pollo Loco Franchise Development Agreement grants the Developer non-exclusive or exclusive rights to develop and open El Pollo Loco restaurants within a specified territory. The Developer must submit sites for approval, enter into leases or purchase agreements, and open a certain number of restaurants each year as required by the Development Schedule. The Developer must also execute individual Franchise Agreements for each restaurant and pay fees, royalties, and other payments. Failure to comply with the agreement's terms may result in termination, and the Franchisor retains the right to establish and operate restaurants outside of the territory or sell similar products through other channels.","10.1. This Agreement shall terminate immediately upon El Pollo Loco's receipt of Developer's notice to terminate. ... 11.1. The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the immediate termination of this Agreement. ... 11.2. The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the termination of this Agreement, if such default is not cured within thirty (30) days after written notice by Franchisor to Developer","6.2. Developer acknowledges that, in connection with its execution of this Agreement, it may receive confidential and proprietary information regarding the El Pollo Loco ® System, including but not limited to the El Pollo Loco Operational Manual.","Developer shall indemnify and hold harmless the Franchisor (as defined above) from and against any and all Losses (as defined above), however caused, resulting directly or indirectly from or pertaining to or arising out of or in connection with Developer’s activities under the Development Agreement, including any labor, any employee related claims whatsoever, including, without limitation any claims made by an employee of Developer resulting from the employee’s training in a Franchisor operated facility or restaurant, and including Developer’s failure for any reason to fully inform any third party of Developer’s lack of authority to bind the Franchisor for any purpose.",
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement,"This Co-Branding Agreement is between Snap Technologies, Inc. and United Airlines, Inc. The purpose is for United to obtain sponsorship placement on Snap's website and access to certain user information. Snap and United will work together to develop co-branded pages and content. United will pay Snap an up-front fee and quarterly fees. Either party can terminate the agreement with 60 days' notice for breach or immediately if the other party fails to perform. The term of the agreement is from June 8, 1999, to December 31, 2000. The parties will use commercially reasonable efforts to promote each other's services and respect each other's intellectual property rights.",Clause Not Present,"8.1 CONFIDENTIALITY. During the Term, and for a period of five (5) years thereafter, the receiving party will not disclose to others or use for any purpose of its own, other than in performance of this Agreement, any Confidential Information of the other party. Each party shall take, at a minimum, measures consistent with those taken to protect its own similar types of Confidential Information (and in any event, at least reasonable measures) to protect the other's Confidential Information against disclosures prohibited by this Agreement. Each party acknowledges that its breach of the provisions of this Section 8.1 [CONFIDENTIALITY] will result in immediate and irreparable harm to the other and that money damages alone would be inadequate to compensate such party. Therefore, in the event of a breach of this Section 8.1 [CONFIDENTIALITY] by either party the other party may, in addition to other remedies, immediately obtain and enforce injunctive relief prohibiting the breach or threatened breach or compelling specific performance. Notwithstanding any other provision of this Agreement, the restrictions set forth in this Section 8.1 [CONFIDENTIALITY] shall not apply to any information that: (i) is in or enters the public domain through no fault of the receiving party; (ii) is disclosed to the receiving party by a third party legally entitled to make such disclosure; (iii) is independently developed by the receiving party without reference to any Confidential Information of the other party; or (iv) is required to be disclosed by applicable law, regulation or order of any governmental authority; provided, that in such event, the receiving party shall provide the disclosing party with prior notice that is reasonable in the circumstances of such disclosure and shall use reasonable efforts to cooperate with the disclosing party to minimize the extent and scope of such disclosure.","6.2 LIMITATION OF LIABILITY. NEITHER PARTY WILL HAVE ANY LIABILITY FOR, AND EACH PARTY HEREBY WAIVES AND DISCLAIMS, ANY AND ALL CLAIMS AND CAUSES OF ACTION AGAINST THE OTHER PARTY, WHETHER IN CONTRACT, TORT (INCLUDING, WITHOUT LIMITATION, NEGLIGENCE AND STRICT LIABILITY), WARRANTY OR OTHERWISE, RELATING TO ANY INDIRECT, CONSEQUENTIAL OR EXEMPLARY DAMAGES, IN EACH CASE, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT (INCLUDING ANY BREACH HEREOF) OR ANY OF THE TRANSACTIONS CONTEMPLATED HEREBY.",
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1,"The purpose of this co-branding agreement is for PC Quote, Inc. (PCQ) to allow AB Wately, Inc. (ABW) to co-brand PCQ's software and digital data feed, known as Hyperfeed, to provide a value-added service on ABW's website. PCQ will provide the Hyperfeed and control access to it, while ABW will sign up new subscribers and pay a monthly fee. Notable risks include a liability cap, where PCQ's liability is limited to the total charges paid by ABW in the last 12 months, and termination penalties, where ABW must pay all charges for the month of termination.","Notwithstanding the provisions of (A), and (B) above, should a party to this Agreement be in material breach of the Agreement, the other party may terminate the Agreement thirty (30) days after notice of said material breach is received, and only if such material breach is not cured within thirty (30) days of receipt of notice. ... PCQ may terminate this agreement and ABW's access to and use of SOFTWARE and HYPERFEED provided hereunder unless ABW pays such invoice prior to the termination date specified in the Termination Notice.","8. Confidentiality of Proprietary Information A. ABW understands and acknowledges the proprietary nature of the HYPERFEED and SOFTWARE provided by PCQ and that said HYPERFEED and SOFTWARE have been developed as a trade secret of PCQ and at its expense. ABW agrees to hold said information in the same manner as ABW deals with its own proprietary information and trade secrets. Furthermore, ABW agrees not to attempt any reverse engineering of the HYPERFEED to decode the signals used by PCQ in transmitting the information. B. PCQ understands the proprietary nature of any information belonging to ABW, and recognizes the harm that can be occasioned to user by disclosure of information relative to ABW's activities, PCQ agrees to hold such information in the same manner as PCQ deals with its own proprietary information and trade secrets. C. PCQ acknowledges the confidential nature of ABW's use of the SOFTWARE and HYPERFEED during the initial term of this agreement. Due to the unannounced platform on which ABW shall make available its electronic service to its client during this initial term, PCQ shall in no way disclose to other parties the substance nor acknowledge the existence of this agreement. Any advertising or disclosure of the relationship between the parties, use of either's marks, names or reference by the other shall be approved by both parties prior to release.","LIABILITY UNDER THIS AGREEMENT FROM ANY AND ALL CAUSES, INCLUDING, BUT NOT LIMITED TO, PROGRAM MALFUNCTION OR OPERATIONAL NEGLIGENCE, SHALL BE LIMITED TO GENERAL MONEY DAMAGES IN AN AMOUNT NOT TO EXCEED THE TOTAL CHARGES PAID BY ABW FOR THE SERVICES DURING THE MOST RECENT TWELVE (12) MONTHS OF THE AGREEMENT. SUCH LIMITATION SHALL BE THE EXTENT OF PCQ OR ABW'S LIABILITY REGARDLESS OF THE FORM IN WHICH ANY LEGAL OR EQUITABLE ACTION MAY BE BROUGHT AGAINST PCQ OR ABW, AND THE FOREGOING SHALL CONSTITUTE PCQ'S OR ABW'S SOLE REMEDY. IN NO EVENT WILL EITHER PARTY BE RESPONSIBLE FOR LOST PROFITS OR SPECIAL INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES WHICH ABW OR PCQ INCUR OR EXPERIENCE ON ACCOUNT OF ENTERING INTO OR RELYING ON THIS AGREEMENT, EVEN IF PCQ OR ABW HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,"The purpose of this Exclusive License and Product Development Agreement is for Aucta to grant Eton an exclusive license to develop, manufacture, and market certain pharmaceutical products in the United States. Eton is obligated to pay Aucta milestone, royalty, and licensing payments based on sales. Aucta retains all rights to the products outside of the licensed territory. The agreement outlines various definitions and terms, but specific risks or penalties are not explicitly stated in the provided excerpt, although it does mention indemnification and potential losses.","11.2 Termination for Breach. The Agreement may be terminated by either Party by written notice to the other at any time if the other Party (the “Breaching Party ”) is in material breach or default of any of its obligations hereunder or any of its representations or warranties as follows: (i) the terminating Party shall send a written notice of the material breach or material default to the Breaching Party and (ii) the termination shall become effective a) thirty (30) days after sending notice of the breach if the breach is non-payment of amounts due hereunder, such as milestone, minimum royalty or royalties amounts and b) sixty (60) days after sending notice of the breach for all other breaches unless the Breaching Party has cured any such material breach or material default prior to the expiration of the thirty (30) or sixty (60) day period as the case may be;","9.1 Confidential Information. Each Party agrees that it shall not, without the prior written consent of the other Party, (i) disclose to any Person such other Party’s Confidential Information (as defined below), except to those of its and its Affiliates’ employees or representatives who need to know such information for the purpose of exploiting its rights or fulfilling its obligations under this Agreement (and then only to the extent that such persons are under an obligation to maintain the confidentiality of the Confidential Information), or (ii) use any of such other Party’s Confidential Information for any reason other than as contemplated by this Agreement. If a Party has been advised by legal counsel that disclosure of Confidential Information of the other Party is required to be made under Applicable Law (including to the FDA or pursuant to the requirements of a national securities exchange or another similar regulatory body on which it’s or any of its Affiliates stock trades) or pursuant to documents subpoena, civil investigative demand, interrogatories, requests for information, or other similar process, the Party required to disclose the Confidential Information shall (to the extent legally permitted) provide the other Party with prompt written notice of such request or demands or other similar process so that such other Party may seek an appropriate protective order or waive the disclosing Party’s compliance with the provisions of this Section. In the absence of a protective order or waiver or other remedy, the Party required to disclose the other Party’s Confidential Information may disclose only that portion of the Confidential Information that its legal counsel advises it is legally required to disclose, provided that it exercises its commercially reasonable efforts to preserve the confidentiality of such other Party’s Confidential Information, at such other Party’s expense, including by cooperating with such other Party to obtain an appropriate protective order or other reliable assurance that confidential treatment will be accorded the Confidential Information. Confidential Information shall remain the sole property of the disclosing Party and all Confidential Information furnished in written form (and all copies thereof) shall be promptly returned to the disclosing Party or destroyed by the receiving Party at the disclosing Party’s request; provided, however, that the receiving Party may retain copies of such Confidential Information as necessary for its compliance obligations under Applicable Laws and any archival purposes, subject to the ongoing obligation to maintain the confidentiality of such information. This Section 9.1 shall survive termination or expiration of this Agreement and continue in effect thereafter for a period of five (5) years","14.1 NOTWITHSTANDING ANYTHING TO THE CONTRARY HEREIN, NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL OR EXEMPLARY DAMAGES, WHETHER FORESEEABLE OR NOT, THAT ARE IN ANY WAY RELATED TO THIS AGREEMENT.",
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,"The purpose of this agreement is for Co-Diagnostics, Inc. to appoint PreCheck Health Services, Inc. as a non-exclusive distributor to sell its products, including qPCR infectious disease kits and COVID-19 diagnostic tests, in Romania. The distributor must use reasonable efforts to promote and sell the products, while the principal maintains the right to contact and market to potential customers. The agreement can be terminated by either party with 30 days' written notice, and upon termination, the distributor can sell ordered products. The distributor is an independent contractor, and the agreement is governed by Texas law, with no other agreements or understandings between the parties.","This Agreement shall be in effect until March 18. 2021, unless sooner terminated by either party upon (30) days written notice, without cause.",Clause Not Present,Clause Not Present,
